country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Mayotte,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,35,4.4,0.678,72.48,124,6.07,6.38,6.93,6.65,6,27,75.1,52.6,46.71,18656,95.4,18.4,27,34,0.779,54.19,45.81,52.6,59.9,46.03,-0.66,6.465,48.3,-8.23,65.97,63.08,64,3.39,21,5.3,8.5,2.2,80,1.59
Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,21,67.9,N/A,N/A,3701,N/A,26.1,37,55,0.62,N/A,N/A,33,N/A,N/A,0.02,N/A,N/A,-1.63,N/A,N/A,N/A,22.51,N/A,28.2,43.2,12.7,22,1.05
Middle East and North Africa,N/A,N/A,N/A,N/A,N/A,3.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,12,3.6,0.71,N/A,115,5.78,7.2,6.66,6.93,6.6,N/A,N/A,59.6,31.61,5711,99.4,13.1,26,35,0.75,46.35,53.65,44.4,64.44,55.02,-0.37,5.608,25.9,-7.5,N/A,N/A,84,10.05,9.45,14.7,26.1,4.1,42,-0.07
Monaco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5,N/A,N/A,N/A,N/A,N/A,N/A,5,26,57,N/A,N/A,N/A,N/A,86.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.55,N/A,N/A,N/A,100,0.51
Mongolia,10,8.4,0.766,N/A,111,6.48,7.79,7.43,7.61,4.6,N/A,N/A,N/A,28.97,12946,98.4,39.8,36,48,0.737,56.01,43.99,32.2,91.84,42.03,-0.27,5.456,32.3,N/A,N/A,N/A,69,10.8,-0.7,17.9,30.7,5.4,68,1.63
Montenegro,9,23.58,0.79,N/A,67,5.77,8.03,6.84,7.43,2.4,N/A,N/A,N/A,34.33,19355,98.8,N/A,24,39,0.829,41.18,58.82,46.3,46.91,58.82,0.1,5.546,31.9,-15.2,N/A,N/A,53,6.39,10.55,21,31.7,10.4,67,0.54
Montserrat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,0.64
Morocco,38,12.8,0.529,45.87,86,5.04,5.68,6.69,6.18,0.8,27,76.7,43.7,43.94,8225,73.8,36.8,13,24,0.686,48.66,51.34,42.3,69.42,51.31,-0.14,5.095,39.5,-7.02,N/A,N/A,86,12.16,17.1,7.2,9.7,4.7,63,2.14
