country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Abkhazia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adorra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,20,11.2,0.415,N/A,165,N/A,N/A,N/A,N/A,5,16.5,64.8,N/A,40.19,1976,43,151.9,13,14,0.511,76.31,23.69,25.5,89.62,23.77,-1.71,2.567,N/A,-5,N/A,N/A,N/A,25.77,12.6,4.1,4.6,3.6,26,3.37
Albania,23,12.1,0.745,50.42,104,N/A,8.01,7.67,7.84,2,32.9,78.6,55.6,30.59,12943,98.1,18.6,27,39,0.795,42.53,57.47,49,78.87,60.48,-0.41,4.883,29,-3.5,N/A,N/A,78,18.46,11.4,4.3,5.9,2.7,62,1.69
Algeria,35,11.4,0.664,53.12,104,N/A,5.2,4.77,4.99,5.6,N/A,N/A,N/A,47.26,15293,81.4,27.7,10,22,0.748,52.03,47.97,44.8,65.26,50.19,-0.82,5.005,27.6,-5.99,N/A,N/A,110,12.38,22.5,2.5,3.1,1.8,73,2.46
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5,N/A,N/A,N/A,N/A,N/A,N/A,10.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,0.07
Andorra,N/A,N/A,0.714,N/A,N/A,N/A,N/A,N/A,N/A,-0.9,N/A,N/A,N/A,23.32,N/A,100,N/A,38,55,0.868,N/A,N/A,N/A,N/A,N/A,1.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.6,N/A,N/A,N/A,87,-0.31
Angola,25,31.6,0.498,N/A,142,N/A,5.98,4.83,5.4,29.8,16.3,61.3,N/A,34.06,6658,71.1,180.2,10,21,0.581,66.48,33.52,29.7,N/A,35.03,-1.05,N/A,42.7,-3.97,N/A,N/A,144,6.66,21.55,6.1,10,2.3,66,4.32
Anguilla,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3,N/A,N/A,N/A,N/A,N/A,N/A,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.9
Antigua and Barbuda,0,N/A,0.676,N/A,N/A,N/A,N/A,N/A,N/A,2.5,30.5,77,N/A,N/A,23522,99,16.2,33,52,0.778,N/A,N/A,48.5,N/A,N/A,0.41,N/A,N/A,-17.27,N/A,N/A,N/A,1.76,26,0.4,0,0.8,24,0.55
Argentina,35,10.2,0.816,68.99,78,N/A,8.04,5.67,6.86,25.7,31.1,76.7,57.3,28.99,20829,99,11.4,35,49,0.845,63.82,36.18,52.2,51.01,38.23,-0.43,5.975,41.2,-9.95,N/A,N/A,88,6.09,14.8,8.4,13.7,3.3,92,1.07
Armenia,22,17,0.749,N/A,60,5.35,7.15,7.7,7.42,0.9,N/A,N/A,53.9,28.83,9668,99.7,20.2,22,33,0.776,22.79,77.21,52.3,60.51,78.4,-0.13,4.677,33.6,-7.57,N/A,N/A,61,11.99,7.15,3.3,5.6,1.3,63,0.22
Aruba,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5,N/A,N/A,N/A,N/A,39493,97.8,13.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,0.67
Australia,45,4.5,0.929,77.86,11,8.96,9.16,8.07,8.62,2,37.2,83,75.1,19.79,49378,N/A,4.7,40,57,0.944,43.03,56.97,74.9,23.69,58.64,1.73,7.223,35.8,-2.43,78.96,90.98,7,2.12,21.65,12.5,18.6,6.4,86,1.43
Austria,55,6.9,0.852,76.98,15,N/A,9.25,7.71,8.48,2.2,42.7,81.9,80.1,16.34,53879,N/A,4.4,37,56,0.922,25.54,74.46,79.6,20.42,76.27,1.88,7.294,30.5,-6.59,68.79,80,14,1.09,6.35,14.6,22.8,6.7,58,0.59
Azerbaijan,N/A,6.27,0.709,44.56,129,2.68,6.1,6.34,6.22,13,N/A,N/A,N/A,58.77,17450,99.8,54.6,2,8,0.756,32.02,67.98,46.5,74.3,68.39,-0.58,5.165,26.6,-4.29,N/A,N/A,51,5.7,11.95,4.1,6.6,1.6,56,1.58
Bahamas,0,25.6,0.726,N/A,30,N/A,7.87,7.25,7.56,1.4,N/A,N/A,N/A,N/A,30495,N/A,23.1,38,53,0.814,62.06,37.94,43.5,N/A,37.14,0.08,N/A,N/A,-16.28,N/A,N/A,N/A,0.6,24.85,3.5,5.9,1.3,83,1.13
Bahrain,0,4.9,0.758,N/A,78,2.49,5.91,7.35,6.63,1.4,N/A,N/A,N/A,61.1,47708,97.5,15.2,2,10,0.852,25.64,74.36,51,71.5,70.71,0.49,6.227,N/A,-5.39,N/A,N/A,44,0.28,27.15,8.9,12.5,2.4,89,4.38
Bangladesh,25,5.3,0.508,42.22,146,5.99,5.37,6.18,5.77,5.6,N/A,N/A,40.2,49.71,3877,73.9,59,15,24,0.632,63.9,36.1,29,84.94,36.06,-0.64,4.833,32.4,3.79,N/A,N/A,114,12.68,25,3.7,5.7,1.7,38,3.17
Barbados,28.5,17.2,0.777,N/A,29,N/A,7.59,6.45,7.02,4.4,36.9,79.2,N/A,N/A,18559,99.6,12.2,38,57,0.814,N/A,N/A,45.6,N/A,N/A,0.36,N/A,N/A,-17.6,N/A,N/A,81,N/A,26,0.6,0.9,0.3,31,0.2
Belarus,13,0.2,0.838,44.79,63,2.59,6.66,6.64,6.65,6,39.3,74.7,N/A,50.82,18896,99.8,6.4,2,9,0.823,59.58,40.42,53,44.79,75.01,-0.79,5.54,25.4,-0.9,N/A,N/A,N/A,6.79,6.15,21.2,36.7,7.7,79,0.44
Belgium,50,5.9,0.893,75.37,15,7.51,9.07,7.51,8.29,2.2,41.6,81.8,80.1,11.69,49367,N/A,4.4,39,57,0.931,44.58,55.42,73.3,50.09,56.02,1.36,6.864,27.7,-6.42,87.21,89.37,16,0.63,9.55,18.3,24.9,11.8,98,0.62
Belize,N/A,13.7,0.705,N/A,N/A,N/A,7.12,6.78,6.95,1.1,N/A,N/A,N/A,27.61,8525,N/A,23,34,53,0.716,50.39,49.61,41.9,N/A,N/A,-0.78,N/A,53.3,-14.08,N/A,N/A,118,8.97,25.3,7.1,12.5,1.7,46,2.32
Benin,N/A,2.5,0.471,N/A,83,4.58,7.47,6.08,6.77,0.1,18.4,61.8,N/A,38.18,2276,42.4,64.6,21,44,0.545,N/A,N/A,30,N/A,N/A,-0.66,5.216,47.8,N/A,N/A,N/A,127,26.88,27.55,7.8,11.8,3.8,48,3.89
Bermuda,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.9,N/A,N/A,N/A,N/A,N/A,N/A,2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.85,N/A,N/A,N/A,N/A,N/A,N/A,0.22,N/A,N/A,N/A,N/A,100,-0.44
Bhutan,N/A,5,0.445,N/A,24,5.71,6.29,6.77,6.53,5.8,N/A,N/A,N/A,28.86,9392,66.6,49.3,30,31,0.654,N/A,N/A,39.3,N/A,N/A,0.59,N/A,37.4,-0.81,N/A,N/A,87,15.82,7.4,4.6,6.3,2.7,42,2.98
Bolivia,13,5.6,0.687,N/A,124,5.08,7.07,6.14,6.61,2.8,N/A,N/A,N/A,35.47,7576,92.5,44.6,27,39,0.718,57.77,42.23,44.3,73.21,47.07,-1.12,5.747,44,-7.7,N/A,N/A,113,12.22,21.55,6.2,8.4,4.1,70,1.97
Bosnia and Herzegovina,10,32.42,0.718,53.24,111,4.84,8.04,6.69,7.37,1.2,N/A,N/A,N/A,N/A,13108,98.5,9.1,19,34,0.78,42.99,57.01,45.4,61.04,56.97,-0.23,5.674,33,-5.5,N/A,N/A,90,5.6,9.85,10.9,17.6,4.5,49,0.55
Bosnia-Herzegovina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,25,23.3,0.659,N/A,35,7.62,6.97,7.37,7.17,3.3,22.5,69.5,N/A,23.25,17024,88.5,12.5,28,44,0.735,52.98,47.02,40.4,N/A,46.51,0.5,3.479,53.3,-8.25,N/A,N/A,80,1.95,21.5,16.1,26.3,6.4,70,2.87
Brazil,27.5,14.1,0.686,57.79,94,6.92,6.74,6.23,6.48,3.4,N/A,N/A,52.1,36.25,15553,93.2,22.5,31,43,0.765,67.49,32.51,51.2,54.4,31.12,-0.18,6.376,53.3,-4.05,N/A,N/A,76,4.4,24.95,6.9,10.9,3,87,1.05
British Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,2.42
Brunei,0,8.4,0.704,N/A,35,N/A,N/A,N/A,N/A,-0.2,N/A,N/A,N/A,49.91,79003,97.2,12.2,7,21,0.838,29,71,54.8,N/A,72.32,0.61,N/A,N/A,1.2,N/A,N/A,N/A,0.99,26.85,N/A,N/A,N/A,78,1.66
Bulgaria,10,5,0.805,56.28,69,6.71,8.04,7.54,7.79,1.2,43,75.1,63.8,37.29,20948,N/A,17.8,33,45,0.816,38.21,61.79,57,64.54,61.5,0.04,5.102,37.4,N/A,N/A,N/A,41,3.24,10.55,9.7,15.3,4.4,75,-0.22
Burkina Faso,N/A,5,0.286,N/A,86,3.73,7.39,6.07,6.73,0.4,17.1,61.5,N/A,23.17,1866,41.2,84.5,23,31,0.452,N/A,N/A,38.3,N/A,N/A,-0.43,4.769,35.3,0.79,N/A,N/A,143,20.17,28.29,7.5,11.3,3.7,30,4.99
Burma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,29,67.2,N/A,N/A,N/A,N/A,49.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.06,N/A,N/A,N/A,N/A,N/A,N/A,22.18,N/A,N/A,N/A,N/A,N/A,N/A
Burundi,N/A,0.8,0.424,N/A,165,2.14,4.95,6.17,5.56,16.6,17.6,61.6,N/A,47.57,735,68.4,59.6,4,10,0.433,N/A,N/A,27,N/A,N/A,-1.43,3.775,38.6,-1.28,N/A,N/A,135,28.9,19.8,6.2,9.2,3.4,13,5.68
Cabo Verde,N/A,N/A,N/A,N/A,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.09,6913,N/A,N/A,38,54,N/A,N/A,N/A,32.8,N/A,N/A,N/A,N/A,47.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cambodia,20,0.31,0.487,49.43,160,3.1,6.82,7.44,7.13,2.9,24.4,69.8,N/A,46.84,4018,80.5,54.8,5,19,0.594,51.13,48.87,33.6,78.27,49.34,-0.94,4.848,N/A,-3.53,N/A,N/A,92,20.71,26.8,4.9,7,2.8,24,3.25
Cameroon,N/A,3.6,0.547,N/A,149,2.77,5.43,5.84,5.64,0.6,18.3,59.3,36,43.78,3722,77.1,63.3,7,9,0.563,65.24,34.76,33.6,90.12,N/A,-1.12,5.085,46.6,-2.76,N/A,N/A,130,14.51,24.6,9,13.6,4.4,57,3.63
Canada,33,7.1,0.899,71.69,11,N/A,9.22,8.08,8.65,1.6,40.1,82.1,76.1,15.25,46510,N/A,5,40,58,0.929,41.89,58.11,71,28.54,60.33,1.76,7.232,34,-5.4,62.12,68.28,10,N/A,-5.35,11.8,17.6,6.1,81,0.97
Cape Verde,N/A,12.3,0.555,N/A,N/A,7.65,7.74,7.16,7.45,0.8,N/A,N/A,N/A,N/A,N/A,86.8,41.3,N/A,N/A,0.665,N/A,N/A,N/A,N/A,N/A,0.52,N/A,N/A,-14.02,N/A,N/A,N/A,4.63,23.3,N/A,N/A,N/A,66,1.97
Cayman Islands,0,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,98.9,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1.27
Central Africa,N/A,4.3,0.341,N/A,146,1.32,5.59,5.23,5.41,4.1,19.7,53.3,N/A,41.92,727,37.4,80.6,3,6,0.397,N/A,N/A,36.9,N/A,N/A,-1.73,3.476,56.2,-0.01,N/A,N/A,N/A,N/A,24.9,12.3,19.6,5.2,42,2.52
Chad,N/A,2.3,0.298,N/A,160,1.55,5.49,5.42,5.46,-0.9,15.8,54.3,N/A,40.2,1945,22.3,98.7,3,14,0.398,N/A,N/A,26.7,N/A,N/A,-1.28,4.423,43.3,-0.88,N/A,N/A,145,42.59,26.55,6.4,9.6,3.3,23,3.88
Chile,40,8.9,0.8,63.99,25,8.28,8.41,7.89,8.15,2.2,33.1,80.1,60.3,27.89,24747,96.4,7.7,38,55,0.851,53.42,46.58,55.3,78.63,54.77,1.07,6.228,46.6,-5.84,52.2,49.02,36,3.61,8.45,9,14.9,3.2,87,0.87
China,45,5.1,0.644,66.16,78,2.27,5.92,6.42,6.17,1.6,37.4,76.9,61.5,78.72,16842,96.8,20.2,-2,11,0.761,30.14,69.86,37.3,81.17,68.17,-0.27,5.124,38.6,2.27,N/A,N/A,34,7.14,6.95,8.1,9.8,6.2,61,2.42
Colombia,39,14.3,0.676,66.92,92,7.04,7.18,6.68,6.93,4.3,N/A,N/A,50.3,43.74,14503,95.1,18.9,29,36,0.767,56.87,43.13,52.9,62.89,45.21,-0.42,6.163,49.7,-6.84,N/A,N/A,68,6.39,24.5,3.9,6.1,1.8,81,1.22
Comoros,N/A,8.4,0.473,N/A,160,3.09,N/A,N/A,N/A,1,19.1,64.3,N/A,30.65,2751,58.8,66.5,16,26,0.554,N/A,N/A,32.1,N/A,N/A,-1.09,4.289,45.3,-0.5,N/A,N/A,N/A,33.07,25.55,5.4,7,3.8,29,2.87
Congo,40,N/A,N/A,N/A,165,N/A,N/A,N/A,N/A,N/A,18.8,64.6,N/A,N/A,5454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cook Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.2,N/A,N/A,N/A,N/A,N/A,N/A,16.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,0.37
Costa Rica,25,18.1,0.719,62.15,42,8.16,7.99,7.41,7.7,1.6,29.7,80.3,61.6,8.76,17110,97.9,8.7,38,53,0.81,54.22,45.78,52.5,44.07,43.67,0.54,7.121,48.3,-4.79,N/A,N/A,55,4.15,24.8,8.1,14.1,2,80,1.5
Crimea,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Croatia,30,7.4,0.791,63.95,63,6.5,8.45,7.26,7.86,1.1,42.6,78.6,66.7,27.95,26296,99.3,6.3,36,49,0.851,24.59,75.41,63.1,30.84,75.29,0.37,5.505,31.1,-9,N/A,N/A,62,2.92,10.9,16.4,25.3,8.1,57,-0.08
Cuba,N/A,3.87,0.78,N/A,63,2.84,N/A,N/A,N/A,5.5,40.1,78.8,N/A,63.94,N/A,99.8,5.8,1,12,0.783,28.33,71.67,48.4,N/A,72.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.2,14.5,23,6,77,0.14
Curacao,46.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,0.62
Cyprus,35,5.2,0.808,54.59,42,7.56,8.18,7.68,7.93,N/A,35.2,81,69.4,19.85,36012,99.1,6.6,38,56,0.887,31.28,68.72,64.8,55.06,69.99,0.76,6.159,34,-5.1,N/A,N/A,30,1.74,18.45,3.6,6,1.3,66,0.75
Czechia,23,3.6,0.893,75.39,49,7.67,8.92,7.75,8.34,2.4,40.3,79.2,74.7,23.38,38020,99,3.8,36,55,0.9,25.52,74.48,71,36.31,74.48,1.05,6.911,25.9,-5.55,63.44,66.57,31,1.94,7.55,N/A,N/A,N/A,74,0.21
Democratic Republic of the Congo,40,N/A,0.496,N/A,170,1.13,N/A,N/A,N/A,41.5,17.4,60.7,N/A,48.59,889,N/A,81.5,5,15,0.48,N/A,N/A,36.4,N/A,N/A,-1.79,4.311,42.1,-0.06,N/A,N/A,N/A,19.97,24,6.7,10.6,2.8,45,4.53
Denmark,56.5,3.8,0.92,79.79,1,9.15,9.24,7.89,8.56,1.1,41.1,81.3,85.2,8.57,54356,N/A,4.3,40,57,0.94,26.22,73.78,82.5,21.29,74.9,1.9,7.646,28.2,-3.28,80.34,85.89,6,1.33,7.5,10.7,14.9,6.5,88,0.51
Djibouti,N/A,N/A,0.309,N/A,142,2.71,N/A,N/A,N/A,0.7,22.8,67.1,N/A,78.62,N/A,N/A,97.5,5,19,0.524,N/A,N/A,28.1,N/A,N/A,-0.91,N/A,41.6,-1,N/A,N/A,98,1.27,28,9.6,12.6,6.4,78,1.67
Dominican Republic,25,8,0.643,55.6,137,6.32,6.98,6.92,6.95,3.3,N/A,N/A,N/A,25.6,16064,93.8,25.9,26,41,0.756,61.02,38.98,46.3,75.64,38.84,-0.35,5.689,45.7,-6.73,N/A,N/A,89,5.23,24.55,4.9,8,1.8,82,2.06
East Timor,N/A,5.06,0.505,N/A,N/A,N/A,N/A,N/A,N/A,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eastern Donbas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ecuador,35,7.3,0.697,68.21,92,6.13,7.36,6.28,6.82,0.4,26.1,77.1,53.9,32.83,11612,N/A,20.9,27,40,0.759,55.23,44.77,51,58.36,49.1,-0.58,5.925,44.7,-7.5,N/A,N/A,111,8.8,21.85,7.6,11.6,3.6,64,1.66
Egypt,25,7.3,0.604,46.61,117,2.93,3.95,5.05,4.5,23.5,N/A,N/A,44.8,56.17,11608,71.2,27.2,6,12,0.707,46.83,53.17,43.3,83.92,53.08,-0.42,4.151,31.8,3.57,N/A,N/A,102,11.05,22.1,3,4,2,42,1.86
El Salvador,30,6.9,0.58,N/A,104,5.9,6.62,7.16,6.89,1,N/A,N/A,47.4,30.49,8023,88.5,21.5,30,33,0.673,67.79,32.21,43.1,N/A,32.04,-0.76,6.348,38,-8.58,N/A,N/A,99,4.87,24.45,6.1,10.5,2.1,73,1.57
Equatorial Guinea,N/A,9.2,0.443,N/A,174,1.92,N/A,N/A,N/A,0.7,N/A,N/A,N/A,55.67,24439,95.3,81.5,0,5,0.592,N/A,N/A,38.1,N/A,N/A,-1.42,N/A,N/A,-5.77,N/A,N/A,N/A,2.43,24.55,7.9,9.4,6,73,4.28
Eritrea,N/A,7.4,0.281,N/A,160,2.15,N/A,N/A,N/A,9,18.4,66.4,N/A,81.45,N/A,76.6,43.3,1,1,0.459,N/A,N/A,30.4,N/A,N/A,-1.6,N/A,N/A,-0.62,N/A,N/A,N/A,N/A,25.5,10.9,16.6,5.2,41,3.86
Estonia,20,6.9,0.869,72.68,17,7.84,9.02,7.89,8.46,3.7,40.9,78.8,73.5,15.25,33448,99.8,7.3,38,56,0.892,23.71,76.29,65.3,19.72,76.86,1.28,6.022,32.7,-2.93,56.82,64.23,25,2.49,5.1,14.9,24.3,6.5,69,0.01
Eswatini,N/A,N/A,N/A,N/A,117,3.08,6.29,6.52,6.4,N/A,20.1,60.5,N/A,46.34,8659,88.4,N/A,1,18,0.611,N/A,N/A,33.8,N/A,N/A,N/A,4.308,51.5,-3.34,N/A,N/A,N/A,N/A,21.4,29.4,55.1,4.7,24,2.46
Ethiopia,35,19.1,0.327,N/A,94,3.38,4.77,5.72,5.25,9.9,18.2,66.6,N/A,33.63,1903,51.8,80.8,9,13,0.485,49.3,50.7,34.4,77.74,50.79,-0.47,4.186,35,N/A,N/A,N/A,133,33.52,22.2,5.4,7.7,3.1,21,4.63
Falkland Islands (Islas Malvinas),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,0.76
Faroe Islands,N/A,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3,N/A,N/A,N/A,N/A,N/A,N/A,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.17,N/A,N/A,N/A,N/A,42,0.74
Federated States of Micronesia,N/A,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.85,N/A,N/A,N/A,N/A,N/A
Fiji,20,4.8,0.785,N/A,N/A,5.72,7.61,6.74,7.17,3.4,N/A,N/A,N/A,27.92,9575,99.1,11.5,24,36,0.743,57.62,42.38,34.4,52.42,41.08,-0.03,N/A,36.7,-19,N/A,N/A,N/A,11.85,24.4,9,12.2,5.7,57,1.62
Finland,56.95,7.1,0.905,76.19,3,9.2,9.27,7.8,8.53,0.8,42.3,81.9,83.6,6.99,46344,N/A,3.4,40,60,0.938,27.59,72.41,78.9,11.99,76.68,2.02,7.809,27.1,-2.89,73.14,66.85,8,2.45,1.7,15.3,23.2,7.6,85,0.42
France,45,8,0.84,80.56,23,7.99,8.69,7.35,8.02,1.2,40.6,82.7,76.7,22.6,44033,N/A,3.3,38,52,0.901,51.99,48.01,80,42.17,53.21,1.41,6.664,32.7,-8.23,67.93,74.56,20,1.6,10.7,13.8,20.4,7.6,81,0.72
French Polynesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,1.01
Gabon,N/A,20.5,0.628,N/A,129,3.54,6.1,5.88,5.99,2.7,N/A,N/A,N/A,38.6,18113,84.7,51.7,3,19,0.703,N/A,N/A,45.8,N/A,N/A,-0.73,4.829,38,-1.75,N/A,N/A,132,5.55,25.05,8.4,14.2,2.4,90,2.61
Gambia,N/A,9.6,0.372,N/A,102,4.49,4.64,7.23,5.94,8,17,62.1,N/A,30.76,1699,50.8,67.3,20,26,0.496,N/A,N/A,27.9,N/A,N/A,-0.37,4.751,35.9,0,N/A,N/A,109,21.8,27.5,4.8,6.6,3,62,4.07
Gaza Strip,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,18.3,3,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20,18.5,0.845,54.43,45,5.31,7.53,7.94,7.74,6,N/A,N/A,55.6,28.64,10674,99.4,16.2,23,37,0.812,23.38,76.62,41.3,70.02,79.79,0.31,4.673,37.9,-6.1,N/A,N/A,45,6.5,5.8,9.2,16,3,59,0.42
Germany,45,3.6,0.94,73.49,9,8.67,9.25,7.82,8.53,1.7,45.5,81,78.8,15.24,52556,N/A,3.9,39,55,0.947,35.79,64.21,77.2,27.81,65.19,1.62,7.076,31.7,-4.9,69.11,76.15,13,0.72,8.4,12.3,18.6,6.2,77,0.27
Ghana,30,4.5,0.558,N/A,75,6.5,7.3,6.58,6.94,12.4,20.6,64.1,45.5,21.33,4502,76.6,51,35,47,0.611,46.98,53.02,27.6,88.98,51.03,0.05,5.148,43.5,0.88,N/A,N/A,96,17.61,27.2,6.6,11.8,1.2,57,3.34
Gibraltar,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5,N/A,N/A,N/A,N/A,N/A,N/A,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.45
Greece,44,14.2,0.838,57.09,59,7.39,8.07,6.59,7.33,1.1,42.8,82,59.8,29.01,28583,97.7,5.1,37,50,0.888,45.85,54.15,69.1,52.1,59.68,0.2,5.515,36,-8.24,62.14,56.16,70,3.78,15.4,5.1,8.4,1.9,79,0.22
Greenland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,N/A,N/A,N/A,N/A,100,10.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,0.42
Grenada,28,N/A,0.758,N/A,52,N/A,N/A,N/A,N/A,0.9,N/A,N/A,N/A,N/A,15156,98.6,13.2,37,52,0.779,N/A,N/A,43.1,N/A,N/A,0.18,N/A,N/A,-13.46,N/A,N/A,N/A,4.89,26.65,0.7,0.6,0.7,36,0.76
Guam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,0.92
